# step, loss function, Y0, learning rate, running time
0.000000000000000000e+00,2.752530616714353728e-01,5.205561778172462795e-01,1.000000047497451305e-03,3.539014339447021484e+00
1.000000000000000000e+00,1.347554984171892793e-03,5.194668549575592875e-01,1.000000047497451305e-03,3.554527521133422852e+00
2.000000000000000000e+00,3.550656126574044773e-03,5.195264273099858832e-01,1.000000047497451305e-03,3.570040941238403320e+00
3.000000000000000000e+00,5.611811233382463932e-03,5.194260104350050256e-01,1.000000047497451305e-03,3.584553241729736328e+00
4.000000000000000000e+00,1.311311814942761611e-03,5.192894080723816641e-01,1.000000047497451305e-03,3.599565744400024414e+00
5.000000000000000000e+00,2.219953790387931003e-02,5.192329300387711344e-01,1.000000047497451305e-03,3.614578723907470703e+00
6.000000000000000000e+00,3.044973539314551614e-01,5.189582861822198412e-01,1.000000047497451305e-03,3.630091667175292969e+00
7.000000000000000000e+00,9.058996781990738545e-02,5.178000809349680988e-01,1.000000047497451305e-03,3.645104646682739258e+00
8.000000000000000000e+00,5.801908371874266862e-02,5.172398352949614253e-01,1.000000047497451305e-03,3.660117387771606445e+00
9.000000000000000000e+00,8.410205826499034601e-03,5.167916693550785867e-01,1.000000047497451305e-03,3.674629449844360352e+00
1.000000000000000000e+01,1.808622446024999927e-02,5.166321106286613229e-01,1.000000047497451305e-03,3.689642429351806641e+00
1.100000000000000000e+01,3.678925545762846971e-02,5.163993567954987540e-01,1.000000047497451305e-03,3.704655170440673828e+00
1.200000000000000000e+01,9.422990487974814214e-04,5.160628423612368953e-01,1.000000047497451305e-03,3.719667911529541016e+00
1.300000000000000000e+01,1.807069008590017492e-04,5.160115211942838398e-01,1.000000047497451305e-03,3.734680652618408203e+00
1.400000000000000000e+01,8.149499278449365497e-04,5.160299698645584021e-01,1.000000047497451305e-03,3.750694036483764648e+00
1.500000000000000000e+01,2.096353540047768763e-02,5.159809941862850691e-01,1.000000047497451305e-03,3.765707015991210938e+00
1.600000000000000000e+01,6.010065054065850954e-02,5.162123009095317405e-01,1.000000047497451305e-03,3.780219554901123047e+00
1.700000000000000000e+01,9.380431908234591887e-02,5.157443477014634903e-01,1.000000047497451305e-03,3.795732498168945312e+00
1.800000000000000000e+01,3.158763513549914248e-02,5.151908690605925267e-01,1.000000047497451305e-03,3.810745239257812500e+00
1.900000000000000000e+01,9.614331211476231931e-02,5.148796159834470032e-01,1.000000047497451305e-03,3.825757980346679688e+00
2.000000000000000000e+01,5.479364966617085442e-02,5.143183534914830268e-01,1.000000047497451305e-03,3.840770721435546875e+00
2.100000000000000000e+01,8.396182621946413072e-02,5.138604474201964312e-01,1.000000047497451305e-03,3.856283903121948242e+00
