# step, loss function, Y0, learning rate, running time
0.000000000000000000e+00,4.239212369554475117e+03,2.955690754000872555e+00,1.000000000000000000e+00,2.069415807723999023e+01
1.000000000000000000e+00,3.794384810536453642e+03,3.955690751685249307e+00,1.000000000000000000e+00,2.078765320777893066e+01
2.000000000000000000e+00,3.559070023646083428e+03,4.953536174837162243e+00,1.000000000000000000e+00,2.088463044166564941e+01
3.000000000000000000e+00,3.366241059158679491e+03,5.948975261980550044e+00,1.000000000000000000e+00,2.097409510612487793e+01
4.000000000000000000e+00,3.179537737912885405e+03,6.941601669658783891e+00,1.000000000000000000e+00,2.106655359268188477e+01
5.000000000000000000e+00,2.553189896007704192e+03,7.930278433011906714e+00,1.000000000000000000e+00,2.115481662750244141e+01
6.000000000000000000e+00,1.918200334314027259e+03,8.908357369634599010e+00,1.000000000000000000e+00,2.124047088623046875e+01
7.000000000000000000e+00,2.143879515702382378e+03,9.867823726028680298e+00,1.000000000000000000e+00,2.132657647132873535e+01
8.000000000000000000e+00,1.771829654232700705e+03,1.081393360248251767e+01,1.000000000000000000e+00,2.141219973564147949e+01
9.000000000000000000e+00,1.900220268863798083e+03,1.174025512500266366e+01,1.000000000000000000e+00,2.150208878517150879e+01
1.000000000000000000e+01,1.799973695182006395e+03,1.265071903698221689e+01,1.000000000000000000e+00,2.159453082084655762e+01
1.100000000000000000e+01,1.269647018377864924e+03,1.354726315967404027e+01,1.000000000000000000e+00,2.168509769439697266e+01
1.200000000000000000e+01,1.362096687124462960e+03,1.440862438133397205e+01,1.000000000000000000e+00,2.177078247070312500e+01
1.300000000000000000e+01,1.439792186371124899e+03,1.524126020941469761e+01,1.000000000000000000e+00,2.185773015022277832e+01
1.400000000000000000e+01,1.680829945079855406e+03,1.604583822263048631e+01,1.000000000000000000e+00,2.194119048118591309e+01
1.500000000000000000e+01,1.658438661247159871e+03,1.681851224904725939e+01,1.000000000000000000e+00,2.202760696411132812e+01
1.600000000000000000e+01,1.058262793634902664e+03,1.758026247458129632e+01,1.000000000000000000e+00,2.211315417289733887e+01
1.700000000000000000e+01,1.692163564241772292e+03,1.831699846943525856e+01,1.000000000000000000e+00,2.219763755798339844e+01
1.800000000000000000e+01,1.222916536041353083e+03,1.903690806891097509e+01,1.000000000000000000e+00,2.228414106369018555e+01
1.900000000000000000e+01,1.578037366275890690e+03,1.972468865444243491e+01,1.000000000000000000e+00,2.236932468414306641e+01
2.000000000000000000e+01,1.766336037140305280e+03,2.039276593510116697e+01,1.000000000000000000e+00,2.245544147491455078e+01
2.100000000000000000e+01,1.765745075475926797e+03,2.102030220157822882e+01,1.000000000000000000e+00,2.253948187828063965e+01
2.200000000000000000e+01,1.871470185018150460e+03,2.162392580903498640e+01,1.000000000000000000e+00,2.262589836120605469e+01
2.300000000000000000e+01,1.485728911524303157e+03,2.221830347863913246e+01,1.000000000000000000e+00,2.271554064750671387e+01
2.400000000000000000e+01,2.173216335728361628e+03,2.275144832042521870e+01,1.000000000000000000e+00,2.280260419845581055e+01
2.500000000000000000e+01,2.135061994829053674e+03,2.327839771689378168e+01,1.000000000000000000e+00,2.288659334182739258e+01
2.600000000000000000e+01,1.683586510620198624e+03,2.379798246133765716e+01,1.000000000000000000e+00,2.297252035140991211e+01
2.700000000000000000e+01,1.339050389825555612e+03,2.427752808250365746e+01,1.000000000000000000e+00,2.305691432952880859e+01
2.800000000000000000e+01,1.118990610552784347e+03,2.473461480952479974e+01,1.000000000000000000e+00,2.314548921585083008e+01
2.900000000000000000e+01,1.370405853083548436e+03,2.518752646388821148e+01,1.000000000000000000e+00,2.323253774642944336e+01
3.000000000000000000e+01,1.245335452895851859e+03,2.564144323966285199e+01,1.000000000000000000e+00,2.331697344779968262e+01
3.100000000000000000e+01,1.125949000805548394e+03,2.608469130162556482e+01,1.000000000000000000e+00,2.340805006027221680e+01
3.200000000000000000e+01,1.532773450450401924e+03,2.649947934262490534e+01,1.000000000000000000e+00,2.349846744537353516e+01
3.300000000000000000e+01,1.074014069994801957e+03,2.692381441570946166e+01,1.000000000000000000e+00,2.358391714096069336e+01
3.400000000000000000e+01,9.805201647295526755e+02,2.735950642884299100e+01,1.000000000000000000e+00,2.367041492462158203e+01
3.500000000000000000e+01,1.838114984392042288e+03,2.779871413460366369e+01,1.000000000000000000e+00,2.375646853446960449e+01
3.600000000000000000e+01,6.132893020721497805e+02,2.827072137495001769e+01,1.000000000000000000e+00,2.384136795997619629e+01
3.700000000000000000e+01,1.036089642724271471e+03,2.872165142624164957e+01,1.000000000000000000e+00,2.392510724067687988e+01
