# step, loss function, Y0, running time
2.000000000000000000e+01,5.515761184692382812e+01,1.128729534149169922e+01,8.685929536819458008e+00
4.000000000000000000e+01,1.698192977905273438e+01,4.742096900939941406e+00,9.555167436599731445e+00
6.000000000000000000e+01,8.617808341979980469e+00,6.572205543518066406e+00,1.043263268470764160e+01
8.000000000000000000e+01,8.470987319946289062e+00,7.078839302062988281e+00,1.129864740371704102e+01
1.000000000000000000e+02,9.449697494506835938e+00,6.731660842895507812e+00,1.214286422729492188e+01
1.200000000000000000e+02,7.474164009094238281e+00,6.884773731231689453e+00,1.298507905006408691e+01
1.400000000000000000e+02,8.418465614318847656e+00,6.786259174346923828e+00,1.383630156517028809e+01
1.600000000000000000e+02,8.333495140075683594e+00,6.793732643127441406e+00,1.473306298255920410e+01
1.800000000000000000e+02,9.661225318908691406e+00,6.859906196594238281e+00,1.560230112075805664e+01
2.000000000000000000e+02,8.299135208129882812e+00,6.822480201721191406e+00,1.645052146911621094e+01
2.200000000000000000e+02,7.894253730773925781e+00,6.775938034057617188e+00,1.731075143814086914e+01
2.400000000000000000e+02,7.846127510070800781e+00,6.838414192199707031e+00,1.819700407981872559e+01
2.600000000000000000e+02,7.665058135986328125e+00,6.819069385528564453e+00,1.905223011970520020e+01
2.800000000000000000e+02,8.305089950561523438e+00,6.737284183502197266e+00,1.990445303916931152e+01
3.000000000000000000e+02,8.160076141357421875e+00,6.761432170867919922e+00,2.074716877937316895e+01
3.200000000000000000e+02,8.521450996398925781e+00,6.774414062500000000e+00,2.159188580513000488e+01
3.400000000000000000e+02,8.213094711303710938e+00,6.798169612884521484e+00,2.244010567665100098e+01
3.600000000000000000e+02,7.615290641784667969e+00,6.799663543701171875e+00,2.327681612968444824e+01
3.800000000000000000e+02,8.081244468688964844e+00,6.832602977752685547e+00,2.412003207206726074e+01
4.000000000000000000e+02,8.045376777648925781e+00,6.817782878875732422e+00,2.496825218200683594e+01
4.200000000000000000e+02,7.505530357360839844e+00,6.762887477874755859e+00,2.579945802688598633e+01
4.400000000000000000e+02,8.572605133056640625e+00,6.798326492309570312e+00,2.662565922737121582e+01
4.600000000000000000e+02,7.428482055664062500e+00,6.793313980102539062e+00,2.748839139938354492e+01
4.800000000000000000e+02,8.223611831665039062e+00,6.822009563446044922e+00,2.832660341262817383e+01
5.000000000000000000e+02,8.384637832641601562e+00,6.751556873321533203e+00,2.916331434249877930e+01
5.200000000000000000e+02,8.077005386352539062e+00,6.877884864807128906e+00,2.999902343750000000e+01
5.400000000000000000e+02,8.126734733581542969e+00,6.781832218170166016e+00,3.083523297309875488e+01
5.600000000000000000e+02,8.265098571777343750e+00,6.780097007751464844e+00,3.166343641281127930e+01
5.800000000000000000e+02,8.725446701049804688e+00,6.832425117492675781e+00,3.249514269828796387e+01
6.000000000000000000e+02,7.676509857177734375e+00,6.839267730712890625e+00,3.333485484123229980e+01
6.200000000000000000e+02,7.718804359436035156e+00,6.793331146240234375e+00,3.417556858062744141e+01
6.400000000000000000e+02,8.059495925903320312e+00,6.803617000579833984e+00,3.501778411865234375e+01
6.600000000000000000e+02,7.092211723327636719e+00,6.706707477569580078e+00,3.585699605941772461e+01
6.800000000000000000e+02,7.383731842041015625e+00,6.792315483093261719e+00,3.668870234489440918e+01
7.000000000000000000e+02,7.194709777832031250e+00,6.827535152435302734e+00,3.752491235733032227e+01
7.200000000000000000e+02,8.489290237426757812e+00,6.810522079467773438e+00,3.836462497711181641e+01
7.400000000000000000e+02,7.947531223297119141e+00,6.824244976043701172e+00,3.919933366775512695e+01
7.600000000000000000e+02,8.729086875915527344e+00,6.718399047851562500e+00,4.004505157470703125e+01
7.800000000000000000e+02,7.388173103332519531e+00,6.811985492706298828e+00,4.091428947448730469e+01
8.000000000000000000e+02,7.766662597656250000e+00,6.814463615417480469e+00,4.176351046562194824e+01
8.200000000000000000e+02,7.677365303039550781e+00,6.755517005920410156e+00,4.259471607208251953e+01
8.400000000000000000e+02,8.046907424926757812e+00,6.791545867919921875e+00,4.347746562957763672e+01
8.600000000000000000e+02,8.367680549621582031e+00,6.766179084777832031e+00,4.434520244598388672e+01
8.800000000000000000e+02,7.216664791107177734e+00,6.766911506652832031e+00,4.517991089820861816e+01
9.000000000000000000e+02,7.470699310302734375e+00,6.855989456176757812e+00,4.600661277770996094e+01
9.200000000000000000e+02,7.735623836517333984e+00,6.789083480834960938e+00,4.683631730079650879e+01
9.400000000000000000e+02,7.184370994567871094e+00,6.767327785491943359e+00,4.768153452873229980e+01
9.600000000000000000e+02,7.286742210388183594e+00,6.803988933563232422e+00,4.851724410057067871e+01
9.800000000000000000e+02,7.422363281250000000e+00,6.790534496307373047e+00,4.935945940017700195e+01
1.000000000000000000e+03,7.708782196044921875e+00,6.871536254882812500e+00,5.019516873359680176e+01
